model,metric,value
FE+AR,MAE,0.7662037949915635
FE+AR,MAPE,260.75014826709605
FE+AR,RMSE,0.9258770001214282
FE+AR,Coverage,0.9333333333333333
FE+AR,CI_Width,3.3054728246326524
GP-CP,MAE,0.6834892546249844
GP-CP,MAPE,147.34785899309512
GP-CP,RMSE,0.8345299827972883
GP-CP,Coverage,0.8666666666666667
GP-CP,CI_Width,2.8100352500765364
GP-CP-Extended,MAE,0.6835781351436947
GP-CP-Extended,MAPE,147.25911263325494
GP-CP-Extended,RMSE,0.8346302347271162
GP-CP-Extended,Coverage,0.8666666666666667
GP-CP-Extended,CI_Width,2.789816190542458
