model,metric,C,D
FE+AR,att_avg_over_t,-0.09029976171029078,-0.09029976171029006
FE+AR,att_ci_width_avg_over_t,0.29002465290484647,0.6037122969560256
FE+AR,att_coverage_vs_zero,0.4,0.8
FE+AR,att_mae_vs_zero,0.20883791693325074,0.20883791693325082
FE+AR,att_rmse_vs_zero,0.20883791693325074,0.20883791693325082
FE+AR,tau_ci_width_avg_over_cohorts,0.6484788942563985,2.763776215671745
FE+AR,tau_ci_width_std_over_cohorts,0.391410461902273,0.0644388440460832
FE+AR,tau_coverage_avg_over_cohorts,0.97,0.8726666666666667
FE+AR,tau_mae_avg_over_cohorts,0.11613644127772127,0.8034694578847713
FE+AR,tau_rmse_avg_over_cohorts,0.11983740384740756,0.9338761374695075
GP-CP,att_avg_over_t,-0.001092612099681566,0.0025727505758198826
GP-CP,att_ci_width_avg_over_t,0.23748033338761293,0.3390980070273021
GP-CP,att_coverage_vs_zero,1.0,1.0
GP-CP,att_mae_vs_zero,0.00630738306327065,0.016087464302710415
GP-CP,att_rmse_vs_zero,0.00630738306327065,0.016087464302710415
GP-CP,tau_ci_width_avg_over_cohorts,0.46488386897692485,1.2789739611797133
GP-CP,tau_ci_width_std_over_cohorts,0.3683605230489501,0.15314087643295515
GP-CP,tau_coverage_avg_over_cohorts,0.9753333333333334,0.4126666666666667
GP-CP,tau_mae_avg_over_cohorts,0.08277914116619174,0.7779361180075103
GP-CP,tau_rmse_avg_over_cohorts,0.08505797184783426,0.9024662598326216
GP-CP-Extended,att_avg_over_t,-0.0012454808027925674,-0.0010250567137899019
GP-CP-Extended,att_ci_width_avg_over_t,0.29036467553503864,1.0874766205671318
GP-CP-Extended,att_coverage_vs_zero,1.0,1.0
GP-CP-Extended,att_mae_vs_zero,0.006350893191144136,0.006281355023820265
GP-CP-Extended,att_rmse_vs_zero,0.006350893191144136,0.006281355023820265
GP-CP-Extended,tau_ci_width_avg_over_cohorts,0.8324202064597829,1.715921351832657
GP-CP-Extended,tau_ci_width_std_over_cohorts,0.2871327644771086,1.816455633064478
GP-CP-Extended,tau_coverage_avg_over_cohorts,0.9983333333333333,0.9816666666666667
GP-CP-Extended,tau_mae_avg_over_cohorts,0.1062087670973045,0.08756661221027393
GP-CP-Extended,tau_rmse_avg_over_cohorts,0.11503166737727266,0.09814826837710332
