model,metric,mean,std
FE+AR,Bias,-0.13271107485047207,0.8256558198036159
FE+AR,MAE,0.8875332256371926,0.16575075980616916
FE+AR,RMSE,1.0822973218319525,0.17189634063408374
GP-CP,Bias,-0.0038570497859516913,0.01401036790344303
GP-CP,MAE,0.5604524920307762,0.11481427323100402
GP-CP,RMSE,0.6932601756763431,0.14963366260118924
GP-CP-Extended,Bias,-0.003653652011318634,0.013932690499675467
GP-CP-Extended,MAE,0.5560264257035726,0.11419495368566734
GP-CP-Extended,RMSE,0.6888607448470043,0.14828824224056916
